"sub","countergroup","intensity","load","dvtype","perf"
100,"A","passive","inc","acc",-5.12820512820512
101,"B","passive","inc","acc",2.70270270270269
105,"B","passive","inc","acc",0
106,"C","passive","inc","acc",-10.8108108108108
108,"A","passive","inc","acc",5.26315789473685
111,"C","passive","inc","acc",0
114,"D","passive","inc","acc",-2.5
115,"B","passive","inc","acc",2.63157894736842
116,"C","passive","inc","acc",-5.12820512820512
117,"D","passive","inc","acc",-7.5
102,"C","passive","inc","acc",-8.57142857142857
103,"D","passive","inc","acc",0
104,"A","passive","inc","acc",-13.1578947368421
107,"D","passive","inc","acc",3.33333333333334
109,"B","passive","inc","acc",0
110,"C","passive","inc","acc",0
112,"D","passive","inc","acc",-2.85714285714286
123,"B","passive","inc","acc",-5
124,"B","passive","inc","acc",-2.94117647058824
125,"C","passive","inc","acc",2.70270270270269
126,"A","passive","inc","acc",-2.5
127,"D","passive","inc","acc",0
128,"A","passive","inc","acc",-5
129,"B","passive","inc","acc",11.4285714285714
130,"C","passive","inc","acc",-5.55555555555556
100,"A","passive","neu","acc",0
101,"B","passive","neu","acc",0
105,"B","passive","neu","acc",-2.5
106,"C","passive","neu","acc",0
108,"A","passive","neu","acc",0
111,"C","passive","neu","acc",0
114,"D","passive","neu","acc",0
115,"B","passive","neu","acc",0
116,"C","passive","neu","acc",0
117,"D","passive","neu","acc",0
102,"C","passive","neu","acc",0
103,"D","passive","neu","acc",2.56410256410257
104,"A","passive","neu","acc",0
107,"D","passive","neu","acc",0
109,"B","passive","neu","acc",0
110,"C","passive","neu","acc",-2.5
112,"D","passive","neu","acc",0
123,"B","passive","neu","acc",0
124,"B","passive","neu","acc",-2.5
125,"C","passive","neu","acc",0
126,"A","passive","neu","acc",2.56410256410257
127,"D","passive","neu","acc",0
128,"A","passive","neu","acc",0
129,"B","passive","neu","acc",-2.56410256410257
130,"C","passive","neu","acc",0
100,"A","passive","con","acc",0
101,"B","passive","con","acc",0
105,"B","passive","con","acc",2.56410256410257
106,"C","passive","con","acc",2.56410256410257
108,"A","passive","con","acc",2.56410256410257
111,"C","passive","con","acc",0
114,"D","passive","con","acc",0
115,"B","passive","con","acc",-2.5
116,"C","passive","con","acc",0
117,"D","passive","con","acc",0
102,"C","passive","con","acc",0
103,"D","passive","con","acc",-2.5
104,"A","passive","con","acc",0
