"sub","countergroup","time","intensity","load","dvtype","perf"
100,"A","pre","passive","inc","acc",0.975
101,"B","pre","passive","inc","acc",0.925
105,"B","pre","passive","inc","acc",0.925
106,"C","pre","passive","inc","acc",0.925
108,"A","pre","passive","inc","acc",0.95
111,"C","pre","passive","inc","acc",0.9
114,"D","pre","passive","inc","acc",1
115,"B","pre","passive","inc","acc",0.95
116,"C","pre","passive","inc","acc",0.975
117,"D","pre","passive","inc","acc",1
102,"C","pre","passive","inc","acc",0.875
103,"D","pre","passive","inc","acc",1
104,"A","pre","passive","inc","acc",0.95
107,"D","pre","passive","inc","acc",0.75
109,"B","pre","passive","inc","acc",0.975
110,"C","pre","passive","inc","acc",0.9
112,"D","pre","passive","inc","acc",0.875
123,"B","pre","passive","inc","acc",1
124,"B","pre","passive","inc","acc",0.85
125,"C","pre","passive","inc","acc",0.925
126,"A","pre","passive","inc","acc",1
127,"D","pre","passive","inc","acc",0.975
128,"A","pre","passive","inc","acc",1
129,"B","pre","passive","inc","acc",0.875
130,"C","pre","passive","inc","acc",0.9
100,"A","post","passive","inc","acc",0.925
101,"B","post","passive","inc","acc",0.95
105,"B","post","passive","inc","acc",0.925
106,"C","post","passive","inc","acc",0.825
108,"A","post","passive","inc","acc",1
111,"C","post","passive","inc","acc",0.9
114,"D","post","passive","inc","acc",0.975
115,"B","post","passive","inc","acc",0.975
116,"C","post","passive","inc","acc",0.925
117,"D","post","passive","inc","acc",0.925
102,"C","post","passive","inc","acc",0.8
103,"D","post","passive","inc","acc",1
104,"A","post","passive","inc","acc",0.825
107,"D","post","passive","inc","acc",0.775
109,"B","post","passive","inc","acc",0.975
110,"C","post","passive","inc","acc",0.9
112,"D","post","passive","inc","acc",0.85
123,"B","post","passive","inc","acc",0.95
124,"B","post","passive","inc","acc",0.825
125,"C","post","passive","inc","acc",0.95
126,"A","post","passive","inc","acc",0.975
127,"D","post","passive","inc","acc",0.975
128,"A","post","passive","inc","acc",0.95
129,"B","post","passive","inc","acc",0.975
130,"C","post","passive","inc","acc",0.85
100,"A","pre","passive","neu","acc",1
101,"B","pre","passive","neu","acc",1
105,"B","pre","passive","neu","acc",1
106,"C","pre","passive","neu","acc",1
108,"A","pre","passive","neu","acc",0.975
111,"C","pre","passive","neu","acc",0.975
114,"D","pre","passive","neu","acc",1
115,"B","pre","passive","neu","acc",1
116,"C","pre","passive","neu","acc",1
117,"D","pre","passive","neu","acc",1
102,"C","pre","passive","neu","acc",1
103,"D","pre","passive","neu","acc",0.975
104,"A","pre","passive","neu","acc",1
107,"D","pre","passive","neu","acc",1
109,"B","pre","passive","neu","acc",1
110,"C","pre","passive","neu","acc",1
112,"D","pre","passive","neu","acc",0.975
123,"B","pre","passive","neu","acc",1
124,"B","pre","passive","neu","acc",1
125,"C","pre","passive","neu","acc",1
126,"A","pre","passive","neu","acc",0.975
127,"D","pre","passive","neu","acc",1
128,"A","pre","passive","neu","acc",1
129,"B","pre","passive","neu","acc",0.975
130,"C","pre","passive","neu","acc",0.975
100,"A","post","passive","neu","acc",1
101,"B","post","passive","neu","acc",1
105,"B","post","passive","neu","acc",0.975
106,"C","post","passive","neu","acc",1
108,"A","post","passive","neu","acc",0.975
111,"C","post","passive","neu","acc",0.975
114,"D","post","passive","neu","acc",1
115,"B","post","passive","neu","acc",1
116,"C","post","passive","neu","acc",1
117,"D","post","passive","neu","acc",1
102,"C","post","passive","neu","acc",1
103,"D","post","passive","neu","acc",1
104,"A","post","passive","neu","acc",1
107,"D","post","passive","neu","acc",1
109,"B","post","passive","neu","acc",1
110,"C","post","passive","neu","acc",0.975
112,"D","post","passive","neu","acc",0.975
123,"B","post","passive","neu","acc",1
124,"B","post","passive","neu","acc",0.975
125,"C","post","passive","neu","acc",1
126,"A","post","passive","neu","acc",1
127,"D","post","passive","neu","acc",1
128,"A","post","passive","neu","acc",1
129,"B","post","passive","neu","acc",0.95
130,"C","post","passive","neu","acc",0.975
100,"A","pre","passive","con","acc",1
101,"B","pre","passive","con","acc",1
105,"B","pre","passive","con","acc",0.975
106,"C","pre","passive","con","acc",0.975
