"sub","countergroup","intensity","load","dvtype","perf"
100,"A","passive","1b","acc",-1.923076923
101,"B","passive","1b","acc",-2
105,"B","passive","1b","acc",-4
106,"C","passive","1b","acc",4.347826087
108,"A","passive","1b","acc",9.615384615
111,"C","passive","1b","acc",4.545454545
114,"D","passive","1b","acc",10.63829787
115,"B","passive","1b","acc",6.25
116,"C","passive","1b","acc",6.12244898
117,"D","passive","1b","acc",4
102,"C","passive","1b","acc",6.52173913
103,"D","passive","1b","acc",0
104,"A","passive","1b","acc",-3.921568627
107,"D","passive","1b","acc",4.081632653
109,"B","passive","1b","acc",4.166666667
110,"C","passive","1b","acc",4.444444444
112,"D","passive","1b","acc",0
123,"B","passive","1b","acc",4.166666667
124,"B","passive","1b","acc",-1.960784314
125,"C","passive","1b","acc",0
126,"A","passive","1b","acc",1.960784314
127,"D","passive","1b","acc",4.444444444
128,"A","passive","1b","acc",-2.040816327
129,"B","passive","1b","acc",8.333333333
130,"C","passive","1b","acc",0
100,"A","active","1b","acc",-1.923076923
101,"B","active","1b","acc",2.040816327
105,"B","active","1b","acc",4.255319149
106,"C","active","1b","acc",-2.040816327
108,"A","active","1b","acc",-12.5
111,"C","active","1b","acc",4.347826087
114,"D","active","1b","acc",0
115,"B","active","1b","acc",4.081632653
116,"C","active","1b","acc",8.333333333
117,"D","active","1b","acc",-1.960784314
102,"C","active","1b","acc",1.960784314
103,"D","active","1b","acc",6.12244898
104,"A","active","1b","acc",10.86956522
107,"D","active","1b","acc",13.04347826
109,"B","active","1b","acc",0
110,"C","active","1b","acc",-2.083333333
112,"D","active","1b","acc",-10
123,"B","active","1b","acc",12.5
124,"B","active","1b","acc",10.63829787
125,"C","active","1b","acc",2
126,"A","active","1b","acc",2
127,"D","active","1b","acc",2.127659574
128,"A","active","1b","acc",4.081632653
129,"B","active","1b","acc",4.166666667
130,"C","active","1b","acc",2.083333333
100,"A","passive","2b","acc",0
101,"B","passive","2b","acc",9.302325581
105,"B","passive","2b","acc",-2.173913043
106,"C","passive","2b","acc",2.380952381
108,"A","passive","2b","acc",-15.44715447
111,"C","passive","2b","acc",-4.761904762
114,"D","passive","2b","acc",2.272727273
115,"B","passive","2b","acc",-4.255319149
116,"C","passive","2b","acc",4.444444444
117,"D","passive","2b","acc",-2.083333333
102,"C","passive","2b","acc",2.127659574
103,"D","passive","2b","acc",0
104,"A","passive","2b","acc",11.9047619
107,"D","passive","2b","acc",-2.127659574
109,"B","passive","2b","acc",14.28571429
110,"C","passive","2b","acc",5.128205128
112,"D","passive","2b","acc",4.444444444
123,"B","passive","2b","acc",-4.545454545
124,"B","passive","2b","acc",0
125,"C","passive","2b","acc",12.82051282
126,"A","passive","2b","acc",-2.083333333
127,"D","passive","2b","acc",2.272727273
128,"A","passive","2b","acc",8.571428571
129,"B","passive","2b","acc",22.85714286
130,"C","passive","2b","acc",-2.222222222
100,"A","active","2b","acc",2.173913043
101,"B","active","2b","acc",6.666666667
105,"B","active","2b","acc",4.761904762
106,"C","active","2b","acc",9.756097561
108,"A","active","2b","acc",-1.587301587
111,"C","active","2b","acc",12.19512195
114,"D","active","2b","acc",0
115,"B","active","2b","acc",9.302325581
116,"C","active","2b","acc",0
117,"D","active","2b","acc",11.9047619
102,"C","active","2b","acc",4.347826087
103,"D","active","2b","acc",6.666666667
104,"A","active","2b","acc",7.142857143
107,"D","active","2b","acc",4.347826087
109,"B","active","2b","acc",-2.173913043
110,"C","active","2b","acc",0
112,"D","active","2b","acc",2.222222222
123,"B","active","2b","acc",13.15789474
124,"B","active","2b","acc",12.19512195
125,"C","active","2b","acc",-2.380952381
126,"A","active","2b","acc",13.70967742
127,"D","active","2b","acc",10.52631579
128,"A","active","2b","acc",13.88888889
129,"B","active","2b","acc",11.11111111
130,"C","active","2b","acc",10
100,"A","passive","1b","rt",-0.078474966
101,"B","passive","1b","rt",0.058630394
105,"B","passive","1b","rt",-0.007251732
106,"C","passive","1b","rt",-0.146782298
108,"A","passive","1b","rt",-0.084574708
111,"C","passive","1b","rt",-0.066554765
114,"D","passive","1b","rt",-0.087552465
115,"B","passive","1b","rt",-0.175838889
116,"C","passive","1b","rt",-0.173995171
117,"D","passive","1b","rt",-0.233465627
102,"C","passive","1b","rt",-0.341418339
103,"D","passive","1b","rt",0.07860262
104,"A","passive","1b","rt",-0.008536977
107,"D","passive","1b","rt",-0.085956527
109,"B","passive","1b","rt",-0.205364013
110,"C","passive","1b","rt",-0.065006711
112,"D","passive","1b","rt",-0.066425433
123,"B","passive","1b","rt",-0.036319742
124,"B","passive","1b","rt",-0.007205847
125,"C","passive","1b","rt",-0.031406928
126,"A","passive","1b","rt",-0.165088076
127,"D","passive","1b","rt",-0.015735673
128,"A","passive","1b","rt",-0.042954298
129,"B","passive","1b","rt",-0.011963683
130,"C","passive","1b","rt",-0.037874575
100,"A","active","1b","rt",-0.05222696
101,"B","active","1b","rt",-0.046040843
105,"B","active","1b","rt",-0.054408276
106,"C","active","1b","rt",0.117194276
108,"A","active","1b","rt",0.030122415
111,"C","active","1b","rt",0.009707978
114,"D","active","1b","rt",-0.017225339
115,"B","active","1b","rt",-0.137636477
116,"C","active","1b","rt",-0.164137992
117,"D","active","1b","rt",-0.176808214
102,"C","active","1b","rt",-0.202714742
103,"D","active","1b","rt",-0.042815101
104,"A","active","1b","rt",-0.018023585
107,"D","active","1b","rt",-0.091320072
109,"B","active","1b","rt",-0.128816922
110,"C","active","1b","rt",-0.125813668
112,"D","active","1b","rt",-0.076518363
123,"B","active","1b","rt",-0.142968299
124,"B","active","1b","rt",-0.18088441
125,"C","active","1b","rt",-0.008348175
126,"A","active","1b","rt",-0.011269913
127,"D","active","1b","rt",0.002302245
128,"A","active","1b","rt",-0.163392712
129,"B","active","1b","rt",-0.006322186
130,"C","active","1b","rt",-0.123972253
100,"A","passive","2b","rt",-0.004608809
101,"B","passive","2b","rt",-0.071369102
105,"B","passive","2b","rt",-0.080237699
106,"C","passive","2b","rt",-0.115597902
108,"A","passive","2b","rt",0.011800008
111,"C","passive","2b","rt",-0.085107803
114,"D","passive","2b","rt",-0.104747818
115,"B","passive","2b","rt",-0.191968856
116,"C","passive","2b","rt",-0.104547181
117,"D","passive","2b","rt",-0.115686461
102,"C","passive","2b","rt",-0.263760781
103,"D","passive","2b","rt",-0.041729178
104,"A","passive","2b","rt",0.01481149
107,"D","passive","2b","rt",-0.17225595
109,"B","passive","2b","rt",-0.076513337
110,"C","passive","2b","rt",-0.102747775
112,"D","passive","2b","rt",-0.099151937
123,"B","passive","2b","rt",-0.06842985
124,"B","passive","2b","rt",0.039066438
125,"C","passive","2b","rt",0.04184322
126,"A","passive","2b","rt",-0.182798354
127,"D","passive","2b","rt",-0.050859687
128,"A","passive","2b","rt",0.070211846
129,"B","passive","2b","rt",-2.90133e-05
130,"C","passive","2b","rt",0.004945228
100,"A","active","2b","rt",-0.039495346
101,"B","active","2b","rt",-0.11206562
105,"B","active","2b","rt",-0.027836021
106,"C","active","2b","rt",0.110246038
108,"A","active","2b","rt",-0.067532624
111,"C","active","2b","rt",0.070674714
114,"D","active","2b","rt",-0.056936344
115,"B","active","2b","rt",-0.216805215
116,"C","active","2b","rt",-0.040004771
117,"D","active","2b","rt",-0.12672347
102,"C","active","2b","rt",-0.018540163
103,"D","active","2b","rt",0.046112556
104,"A","active","2b","rt",-0.07228464
107,"D","active","2b","rt",-0.099100232
109,"B","active","2b","rt",-0.116658144
110,"C","active","2b","rt",-0.1337784
112,"D","active","2b","rt",-0.160933923
123,"B","active","2b","rt",-0.068090959
124,"B","active","2b","rt",0.027643696
125,"C","active","2b","rt",-0.000177011
126,"A","active","2b","rt",-0.106689579
127,"D","active","2b","rt",0.003891902
128,"A","active","2b","rt",-0.006044983
129,"B","active","2b","rt",-0.025760649
130,"C","active","2b","rt",-0.079782228
